Date,Category,Item,Demand
2021-01-01,Daily Electric Appliances,Electric Kettle,275
2021-01-01,Daily Electric Appliances,Toaster,367
2021-01-01,Daily Electric Appliances,Microwave,347
2021-01-01,Daily Electric Appliances,Blender,421
2021-01-01,Daily Utility Products,Utility Knife,413
2021-01-01,Daily Utility Products,Scissors,405
2021-01-01,Daily Utility Products,Measuring Tape,219
2021-01-01,Daily Utility Products,Screwdriver,300
2021-01-01,Personal Care Products,Shampoo,201
2021-01-01,Personal Care Products,Soap,303
2021-01-01,Personal Care Products,Toothpaste,282
2021-01-01,Personal Care Products,Hairbrush,358
2021-01-01,Home Cleaning Supplies,Detergent,329
2021-01-01,Home Cleaning Supplies,Mop,172
2021-01-01,Home Cleaning Supplies,Dish Soap,378
2021-01-01,Home Cleaning Supplies,Garbage Bags,91
2021-02-01,Daily Electric Appliances,Electric Kettle,287
2021-02-01,Daily Electric Appliances,Toaster,366
2021-02-01,Daily Electric Appliances,Microwave,353
2021-02-01,Daily Electric Appliances,Blender,193
2021-02-01,Daily Utility Products,Utility Knife,86
2021-02-01,Daily Utility Products,Scissors,499
2021-02-01,Daily Utility Products,Measuring Tape,144
2021-02-01,Daily Utility Products,Screwdriver,348
2021-02-01,Personal Care Products,Shampoo,304
2021-02-01,Personal Care Products,Soap,50
2021-02-01,Personal Care Products,Toothpaste,440
2021-02-01,Personal Care Products,Hairbrush,271
2021-02-01,Home Cleaning Supplies,Detergent,117
2021-02-01,Home Cleaning Supplies,Mop,337
2021-02-01,Home Cleaning Supplies,Dish Soap,335
2021-02-01,Home Cleaning Supplies,Garbage Bags,66
2021-03-01,Daily Electric Appliances,Electric Kettle,332
2021-03-01,Daily Electric Appliances,Toaster,312
2021-03-01,Daily Electric Appliances,Microwave,283
2021-03-01,Daily Electric Appliances,Blender,317
2021-03-01,Daily Utility Products,Utility Knife,387
2021-03-01,Daily Utility Products,Scissors,361
2021-03-01,Daily Utility Products,Measuring Tape,431
2021-03-01,Daily Utility Products,Screwdriver,349
2021-03-01,Personal Care Products,Shampoo,373
2021-03-01,Personal Care Products,Soap,70
2021-03-01,Personal Care Products,Toothpaste,169
2021-03-01,Personal Care Products,Hairbrush,320
2021-03-01,Home Cleaning Supplies,Detergent,320
2021-03-01,Home Cleaning Supplies,Mop,130
2021-03-01,Home Cleaning Supplies,Dish Soap,497
2021-03-01,Home Cleaning Supplies,Garbage Bags,423
2021-04-01,Daily Electric Appliances,Electric Kettle,280
2021-04-01,Daily Electric Appliances,Toaster,93
2021-04-01,Daily Electric Appliances,Microwave,205
2021-04-01,Daily Electric Appliances,Blender,408
2021-04-01,Daily Utility Products,Utility Knife,265
2021-04-01,Daily Utility Products,Scissors,454
2021-04-01,Daily Utility Products,Measuring Tape,73
2021-04-01,Daily Utility Products,Screwdriver,340
2021-04-01,Personal Care Products,Shampoo,338
2021-04-01,Personal Care Products,Soap,371
2021-04-01,Personal Care Products,Toothpaste,328
2021-04-01,Personal Care Products,Hairbrush,327
2021-04-01,Home Cleaning Supplies,Detergent,491
